--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
./deep-text-recognition-benchmark/ocr_data/test/02234407.png	씨                        	0.9966
./deep-text-recognition-benchmark/ocr_data/test/02234408.png	차라리                      	0.9915
./deep-text-recognition-benchmark/ocr_data/test/02234412.png	축구장                      	0.9788
./deep-text-recognition-benchmark/ocr_data/test/02234415.png	그                        	0.9991
./deep-text-recognition-benchmark/ocr_data/test/02234433.png	화분                       	0.9977
./deep-text-recognition-benchmark/ocr_data/test/02234435.png	중                        	0.9936
./deep-text-recognition-benchmark/ocr_data/test/02234439.png	반지                       	0.9733
./deep-text-recognition-benchmark/ocr_data/test/02234442.png	농구                       	0.9991
./deep-text-recognition-benchmark/ocr_data/test/02234450.png	작은아버지                    	0.7189
./deep-text-recognition-benchmark/ocr_data/test/02234451.png	만들다                      	0.9832
./deep-text-recognition-benchmark/ocr_data/test/02234452.png	단어                       	0.9992
./deep-text-recognition-benchmark/ocr_data/test/02234453.png	비추다                      	0.9943
./deep-text-recognition-benchmark/ocr_data/test/02234457.png	옆구리                      	0.9562
./deep-text-recognition-benchmark/ocr_data/test/02234469.png	탁구                       	0.9930
./deep-text-recognition-benchmark/ocr_data/test/02234479.png	완벽하다                     	0.9695
./deep-text-recognition-benchmark/ocr_data/test/02234502.png	자연히                      	0.9975
./deep-text-recognition-benchmark/ocr_data/test/02234506.png	토하다                      	0.9950
./deep-text-recognition-benchmark/ocr_data/test/02234510.png	촬영                       	0.8578
./deep-text-recognition-benchmark/ocr_data/test/02234515.png	티브이                      	0.9073
./deep-text-recognition-benchmark/ocr_data/test/02234520.png	둘                        	0.9931
./deep-text-recognition-benchmark/ocr_data/test/02234532.png	오래전                      	0.9953
./deep-text-recognition-benchmark/ocr_data/test/02234534.png	부끄러움                     	0.8181
./deep-text-recognition-benchmark/ocr_data/test/02234536.png	데리다                      	0.9847
./deep-text-recognition-benchmark/ocr_data/test/02234538.png	슬프다                      	0.9621
./deep-text-recognition-benchmark/ocr_data/test/02234540.png	예산                       	0.9991
./deep-text-recognition-benchmark/ocr_data/test/02234542.png	마찰                       	0.9816
./deep-text-recognition-benchmark/ocr_data/test/02234545.png	녹색                       	0.9710
./deep-text-recognition-benchmark/ocr_data/test/02234546.png	동물원                      	0.9918
./deep-text-recognition-benchmark/ocr_data/test/02234548.png	활기                       	0.9915
./deep-text-recognition-benchmark/ocr_data/test/02234549.png	기록하다                     	0.8246
./deep-text-recognition-benchmark/ocr_data/test/02234555.png	힘들어하다                    	0.8683
./deep-text-recognition-benchmark/ocr_data/test/02234559.png	온몸                       	0.9886
./deep-text-recognition-benchmark/ocr_data/test/02234561.png	소                        	0.9977
./deep-text-recognition-benchmark/ocr_data/test/02234564.png	문구                       	0.9986
./deep-text-recognition-benchmark/ocr_data/test/02234574.png	방송사                      	0.9919
./deep-text-recognition-benchmark/ocr_data/test/02234580.png	박물관                      	0.9472
./deep-text-recognition-benchmark/ocr_data/test/02234584.png	주년                       	0.9929
./deep-text-recognition-benchmark/ocr_data/test/02234586.png	규정                       	0.9849
./deep-text-recognition-benchmark/ocr_data/test/02234594.png	수단                       	0.9948
./deep-text-recognition-benchmark/ocr_data/test/02234603.png	재능                       	0.9964
./deep-text-recognition-benchmark/ocr_data/test/02234609.png	무덥다                      	0.9731
./deep-text-recognition-benchmark/ocr_data/test/02234611.png	한결                       	0.9918
./deep-text-recognition-benchmark/ocr_data/test/02234630.png	손목                       	0.9774
./deep-text-recognition-benchmark/ocr_data/test/02234636.png	고요하다                     	0.9181
./deep-text-recognition-benchmark/ocr_data/test/02234651.png	학습                       	0.9964
./deep-text-recognition-benchmark/ocr_data/test/02234656.png	영화배우                     	0.8535
./deep-text-recognition-benchmark/ocr_data/test/02234658.png	갈아타다                     	0.9741
./deep-text-recognition-benchmark/ocr_data/test/02234675.png	간혹                       	0.9691
./deep-text-recognition-benchmark/ocr_data/test/02234685.png	튼튼히                      	0.3637
./deep-text-recognition-benchmark/ocr_data/test/02234688.png	부모                       	0.9937
./deep-text-recognition-benchmark/ocr_data/test/02234699.png	연휴                       	0.9888
./deep-text-recognition-benchmark/ocr_data/test/02234703.png	평화                       	0.9948
./deep-text-recognition-benchmark/ocr_data/test/02234711.png	하느님                      	0.9914
./deep-text-recognition-benchmark/ocr_data/test/02234719.png	중국                       	0.9887
./deep-text-recognition-benchmark/ocr_data/test/02234727.png	이래                       	0.9930
./deep-text-recognition-benchmark/ocr_data/test/02234740.png	다투다                      	0.9784
./deep-text-recognition-benchmark/ocr_data/test/02234742.png	선명하다                     	0.9771
./deep-text-recognition-benchmark/ocr_data/test/02234753.png	기여                       	0.6878
./deep-text-recognition-benchmark/ocr_data/test/02234756.png	진하다                      	0.9900
./deep-text-recognition-benchmark/ocr_data/test/02234760.png	제작하다                     	0.9934
./deep-text-recognition-benchmark/ocr_data/test/02234769.png	연필                       	0.9894
./deep-text-recognition-benchmark/ocr_data/test/02234778.png	술집                       	0.9936
./deep-text-recognition-benchmark/ocr_data/test/02234787.png	길이                       	0.9912
./deep-text-recognition-benchmark/ocr_data/test/02234792.png	걱정스럽다                    	0.9267
./deep-text-recognition-benchmark/ocr_data/test/02234795.png	실시하다                     	0.9917
./deep-text-recognition-benchmark/ocr_data/test/02234802.png	불안하다                     	0.8906
./deep-text-recognition-benchmark/ocr_data/test/02234812.png	모든                       	0.9887
./deep-text-recognition-benchmark/ocr_data/test/02234815.png	위험성                      	0.9937
./deep-text-recognition-benchmark/ocr_data/test/02234823.png	찢다                       	0.9879
./deep-text-recognition-benchmark/ocr_data/test/02234828.png	미국                       	0.9983
./deep-text-recognition-benchmark/ocr_data/test/02234830.png	대략                       	0.6677
./deep-text-recognition-benchmark/ocr_data/test/02234832.png	녹화                       	0.9933
./deep-text-recognition-benchmark/ocr_data/test/02234835.png	작용하다                     	0.9272
./deep-text-recognition-benchmark/ocr_data/test/02234859.png	기업                       	0.9803
./deep-text-recognition-benchmark/ocr_data/test/02234872.png	도입                       	0.9841
./deep-text-recognition-benchmark/ocr_data/test/02234882.png	훨씬                       	0.9438
./deep-text-recognition-benchmark/ocr_data/test/02234887.png	기원                       	0.6371
./deep-text-recognition-benchmark/ocr_data/test/02234889.png	한여름                      	0.9904
./deep-text-recognition-benchmark/ocr_data/test/02234894.png	실패하다                     	0.9713
./deep-text-recognition-benchmark/ocr_data/test/02234906.png	속옷                       	0.9099
